00003_baalaaxeechia_universe-everything-around-us|baalaaxeechia
00418_ahpalaaxis-iikooshkisshe-_horsetail-plant--scouring_FemaleCitation_CGL_4|ahpalaaxis iikooshkisshe
00446_akaapdeaxihche_beetle_FemaleStem_CGL_1|akaapdeaxihche
00453_akahchii_repeatedly-again-and-agai_FemaleCitation_CGL_2|akahchii
00453_akahchii_repeatedly-again-and-agai_FemaleStem_CGL_2|akahchii
00453_akahchii_repeatedly-again-and-agai_FemaleStem_CGL_3|akahchii
00460_akammaapilake-_sixty_FemaleCitation_CGL_1|akammaapilake
00460_akammaapilake-_sixty_FemaleStem_CGL_2|akammaapilake
00492_akbaalaachileeliche-_vacuum-cleaner_FemaleCitation_CGL_2|akbaalaachileeliche
00501_Akbaatatdia-Daakbachee_Son-of-God-Jesus_FemaleCitation_CGL_2|akbaatatdia Daakbachee
00504_akbaawaachimmihche_teacher_FemaleCitation_CGL_2|akbaawaachimmihche
00505_akbaawaalaachaalee_mailman_FemaleStem_CGL_1|akbaawaalaachaalee
00506_akbacheelee_hunter_FemaleCitation_CGL_2|akbacheelee
00509_akbalaapdeaxihche-annituua_June-when-the-katydids-si_FemaleCitation_CGL_2|akbalaapdeaxihche annituua
00510_Akbaleaashuupashko_Sioux-Indian_FemaleCitation_CGL_2|akbaleaashuupashko
00511_akbaleiliiaachiwe-_lawyer_FemaleCitation_CGL_2|akbaleiliiaachiwe
00514_akbaleluushe-_cannibal_FemaleCitation_CGL_2|akbaleluushe
00515_akbannakkoope-_woodpecker_FemaleCitation_CGL_2|akbannakkoope
00517_akbiakussiliia-_suitor_FemaleCitation_CGL_2|akbiakussiliia
00518_akbiasshe-_widow_FemaleCitation_CGL_2|akbiasshe
00519_akbiasshile-_widower_FemaleCitation_CGL_2|akbiasshile
00521_akbiile_stool-pigeon-tattler_FemaleCitation_CGL_2|akbiile
00522_akbilaachia_fireman_FemaleCitation_CGL_2|akbilaachia
00523_akbilaakshihishtitcheeshee_miller-moth_FemaleCitation_CGL_2|akbilaakshihishtitcheeshee
00525_akbilaxdiche-_drummer_FemaleCitation_CGL_3|akbilaxdiche
00526_akbiliikkilee-_clown_FemaleCitation_CGL_2|akbiliikkilee
00527_akbilikkiliaxpe-_bloodsucker-leech_FemaleCitation_CGL_4|akbilikkiliaxpe
00529_akbilikkuxshe-_lawyer-attorney_FemaleCitation_CGL_2|akbilikkuxshe
00531_Akbilitchissheeaashkaate-_Buffalo-Creek_FemaleCitation_CGL_2|akbilitchissheeaashkaate
00533_akbinnawoo_scholar-scientist-weather_FemaleCitation_CGL_3|akbinnawoo
00534_Akbinnaxxuuwe-_Salish-Indian_FemaleCitation_CGL_2|akbinnaxxuuwe
00535_akbishkaaluushe_catbird-sapsucker_FemaleCitation_CGL_2|akbishkaaluushe
00535_akbishkaaluushe_catbird-sapsucker_FemaleCitation_CGL_3|akbishkaaluushe
00537_Akbishxaxxilia_Navajo-Indian_FemaleCitation_CGL_2|akbishxaxxilia
00538_akbualutche-_kingfisher_FemaleCitation_CGL_2|akbualutche
00539_Akbualuushe_Yakima-Indian-Northwest-I_FemaleCitation_CGL_2|akbualuushe
00543_akbuuooliche-_background-singer-woman-w_FemaleCitation_CGL_3|akbuuooliche
00544_akchiahtee-_over-there-from-a-distanc_FemaleCitation_CGL_2|akchiahtee
00546_akchiia-_a-prized-horse-a-personal_FemaleCitation_CGL_3|akchiia
00547_akchiisaalee_further_FemaleCitation_CGL_2|akchiisaalee
00548_akchilakee-_driver_FemaleCitation_CGL_3|akchilakee
00549_akchiwakiia-_church-goer-church-member_FemaleCitation_CGL_2|akchiwakiia
00550_akchiwee_guesser-handgame_FemaleCitation_CGL_2|akchiwee
00551_akdaaliche-_airplane_FemaleCitation_CGL_2|akdaaliche
00552_baakukoniilaalee_airplane_FemaleCitation_CGL_4|baakukoniilaalee
00553_akdaaloochiale_parade-leader_FemaleCitation_CGL_2|akdaaloochiale
00554_akdia_gambler_FemaleCitation_CGL_2|akdia
00555_akdichaho-_mockingbird_FemaleCitation_CGL_2|akdichaho
00556_akdisshe-_dancer_FemaleCitation_CGL_2|akdisshe
00557_akdutchileeteete-_one-feeling-out-of-place-_FemaleCitation_CGL_5|akdutchileeteete
00558_akduxxiiikuchke-_pipe-holder-war-party-lea_FemaleCitation_CGL_2|akduxxiiikuchke
00560_akduxxiile_warrior_FemaleCitation_CGL_2|akduxxiile
00561_akhilawe-_cocoon_FemaleCitation_CGL_2|akhilawe
00563_akihchilakkaashbilishiishte-_honey_FemaleCitation_CGL_3|akihchilakkaashbilishiishte
00564_akihchilakkaashe-_bee-wasp-hornet_FemaleCitation_CGL_1|akihchilakkaashe
00567_akihchilakkaashtalee-_honey_FemaleCitation_CGL_2|akihchilakkaashtalee
00568_akihchissatbishe-_Native-American-Indian_FemaleCitation_CGL_2|akihchissatbishe
00570_akihchixachiia-_railroad-handcar_FemaleCitation_CGL_3|akihchixachiia
00572_akiia-_sweetheart_FemaleCitation_CGL_2|akiia
00574_akiichiweeleetche_wipe-out-entirely-leave-n_FemaleCitation_CGL_2|akiichiweeleetche
00576_akiikisshe-_sweetheart-lover_FemaleCitation_CGL_2|akiikisshe
00578_akiinnaaxuche-_vampire_FemaleCitation_CGL_2|akiinnaaxuche
00580_akikee-_spectator-on-looker-eyewi_FemaleCitation_CGL_4|akikee
00608_aksaaleete-_mustang--orphan_FemaleCitation_CGL_2|aksaaleete
00612_akshiahtaattaahilee_even-further-away_FemaleCitation_CGL_2|akshiahtaattaahilee
00612_akshiahtaattaahilee_even-further-away_FemaleStem_CGL_2|akshiahtaattaahilee
00636_akuxiia_cause-to-push-away--cause_FemaleCitation_CGL_1|akuxiia
00636_akuxiia_cause-to-push-away--cause_FemaleStem_CGL_1|akuxiia
00636_akuxiia_cause-to-push-away--cause_FemaleStem_CGL_2|akuxiia
00642_akxiia-_be-distant-relationship-a_FemaleCitation_CGL_2|akxiia
00642_akxiia-_be-distant-relationship-a_FemaleStem_CGL_2|akxiia
00677_alaaxuushkawii_always-thinking-about-wom_FemaleCitation_CGL_2|alaaxuushkawii
00677_alaaxuushkawii_always-thinking-about-wom_FemaleStem_CGL_1|alaaxuushkawii
00682_alacheealaache_ridge_FemaleCitation_CGL_2|alacheealaache
00699_Alachiwakaau_East-Pryor-Creek-Canyon--_FemaleCitation_CGL_2|alachiwakaau
00705_alachkachkapiia-_walk-stealthily_FemaleCitation_CGL_2|alachkachkapiia
00705_alachkachkapiia-_walk-stealthily_FemaleStem_CGL_2|alachkachkapiia
00741_alakkuuwe-_miss-ones-step--stumble-a_FemaleStem_CGL_2|alakkuuwe
00760_alakulammishe_middle-part-area-hair_FemaleCitation_CGL_1|alakulammishe
00760_alakulammishe_middle-part-area-hair_FemaleCitation_CGL_2|alakulammishe
00760_alakulammishe_middle-part-area-hair_FemaleCitation_CGL_3|alakulammishe
00760_alakulammishe_middle-part-area-hair_FemaleCitation_CGL_4|alakulammishe
00760_alakulammishe_middle-part-area-hair_FemaleCitation_CGL_5|alakulammishe
00775_alapaasho-shoopa_diamond_FemaleCitation_CGL_2|alapaasho shoopa
00776_alapaasho-daawiia-_triangle_FemaleCitation_CGL_2|alapaasho daawiia
00785_alapasshua_where-it-is-sprained_FemaleCitation_CGL_2|alapasshua
00787_alahpatchia_crease_FemaleCitation_CGL_2|alahpatchia
00799_alapiale_abuse-people-or-things_FemaleCitation_CGL_1|alapiale
00799_alapiale_abuse-people-or-things_FemaleStem_CGL_1|alapiale
00799_alapiale_abuse-people-or-things_FemaleStem_CGL_2|alapiale
00808_alapxawiia-_not-come-close--not-be-wi_FemaleCitation_CGL_2|alapxawiia
00808_alapxawiia-_not-come-close--not-be-wi_FemaleStem_CGL_2|alapxawiia
00827_alashilushe-_opening-in-the-bottom-of-_FemaleCitation_CGL_2|alashilushe
00834_alasshihche_touch-with-foot_FemaleCitation_CGL_1|alasshihche
00834_alasshihche_touch-with-foot_FemaleStem_CGL_1|alasshihche
00840_alataatee_inside-of-thigh_FemaleCitation_CGL_2|alataatee
00879_alaxalaa-dee-_spreading-as-a-fire-pot-o_FemaleCitation_CGL_2|alaxalaa dee
00879_alaxalaa-dee-_spreading-as-a-fire-pot-o_FemaleStem_CGL_2|alaxalaa dee
00904_aappaahuua_comes-with-it_FemaleCitation_CGL_1|aappaahuua
00904_aappaahuua_comes-with-it_FemaleStem_CGL_1|aappaahuua
00904_alaxiia-_it-has-started-to-burn_FemaleCitation_CGL_2|alaxiia
00904_alaxiia-_it-has-started-to-burn_FemaleStem_CGL_2|alaxiia
00927_alaxxaahilia_spread-something-around_FemaleCitation_CGL_2|alaxxaahilia
00927_alaxxaahilia_spread-something-around_FemaleStem_CGL_2|alaxxaahilia
00927_alaxxaahilia_spread-something-around_FemaleStem_CGL_3|alaxxaahilia
00947_alee-_hot-weather_FemaleCitation_CGL_2|alee
00947_alee-_hot-weather_FemaleStem_CGL_2|alee
00952_aliassaa_back-direction_FemaleCitation_CGL_2|aliassaa
00953_aliachiahtaa_way-in-the-back_FemaleCitation_CGL_2|aliachiahtaa
00954_s_b_ammaluseshihkua_to-feed_CGL-3|ammaluseshihkua
00957_aliassshikkuale-_back-off_FemaleCitation_CGL_2|aliassshikkuale
00957_aliassshikkuale-_back-off_FemaleStem_CGL_2|aliassshikkuale
00960_aliaxii_move-back_FemaleStem_CGL_1|aliaxii
00960_aliaxii_move-back_FemaleStem_CGL_2|aliaxii
00960_b_kohchitta-ahpeek_swallow-whole_CGL-2|kohchitta ahpeek
00961_b_duushawtcheek_swallow-whole_CGL-3|duushawtcheek
00963_b_iilichaachik_scream-bellow_CGL-3|iilichaachik
00983_aliiluusahpe-_side-of-road_FemaleCitation_CGL_2|aliiluusahpe
01002_b_iixatahkahkuuk_swarm_CGL|iixatahkahkuuk
01004_b_cheetbuule_alpha-male_CGL|cheetbuule
01005_b_koowatdeo_littergroup-of-baby-animals_CGL-2|koowatdeo
01006_b_balaaasaxdaauk_stormweather-change-instinct_CGL-3|balaaasaxdaauk
01014_b_baaleeaaxxe_environment-world-around-us_CGL-2|baaleeaaxxe
01015_b_baaleeaaxxewaalaakoote_nature-natural-surroundings-ecology_CGL-3|baaleeaaxxewaalaakoote
01046_b_akhuuleete_no-one-came_CGL-2|akhuuleete
01047_b_daashbishtaahilit_a-big-heart_CGL-2|daashbishtaahilit
01048_b_bilaxpakdeetak_a-nobody_CGL|bilaxpakdeetak
01049_b_baahamneetak_a-nobody_CGL-2|baahamneetak
01050_b_baaiiannituutak_no-one-around_CGL|baaiiannituutak
01051_aluutitchilatshe-_blood-poisoning_FemaleCitation_CGL_2|aluutitchilatshe
01066_b_ishushebaacheeshdaaxtuatak_knock-knee_CGL-4|ishushebaacheeshdaaxtuatak
01104_b_ishtawuua_inside-of-the-eye_CGL-3|ishtawuua
01108_b_ishtaashiile_hazel-colored-eyes_CGL|ishtaashiile
01109_b_ishtalaashua_blue-eyed_CGL|ishtalaashua
01111_b_iishteehisheeta_bloodshot-eyes_CGL|iishteehisheeta
01112_b_ishteisee_big-eyes_CGL-2|ishteisee
01113_b_isteexaapetak_sleepy-eyes_CGL-2|isteexaapetak
01125_b_iishtaapachia_snap-eyes_CGL-2|iishtaapachia
01129_b_ishtawaxiak_bad-vision_CGL-3|ishtawaxiak
01130_ammaawachaachilasshipuua-_auction-sale_FemaleCitation_CGL_2|ammaawachaachilasshipuua
01130_b_ishtapatchia_looking-out-of-the-corner-of-your-eye_CGL-2|ishtapatchia
01132_b_ishtalaxpe_top-of-eye_CGL|ishtalaxpe
01136_b_ahkuxapee_earlobe_CGL-3|ahkuxapee
01137_b_ahpe-xaape_floppy-ears_CGL-3|ahpe xaape
01138_ammahtaleete-_sturdy--strong_FemaleCitation_CGL_2|ammahtaleete
01138_ammahtaleete-_sturdy--strong_FemaleStem_CGL_2|ammahtaleete
01138_b_iiwaaiikukkuua_hearing-aid_CGL|iiwaaiikukkuua
01141_b_ahpe-iaxua_plug-your-ears_CGL-2|ahpe iaxua
01142_b_akuxitchik_good-hearing_CGL-2|akuxitchik
01143_b_akuxteetak_hard-of-hearing-no-hearning-dont-listen_CGL-2|akuxteetak
01148_b_ahkuxpishii_listening-good-do-you-hear_CGL|ahkuxpishii
01150_b_apaake_on-nose_CGL|apaake
01152_b_apannoopisaa_large-nostrils_CGL|apannoopisaa
01158_b_iisdutchikik_stuffy-nose_CGL|iisdutchikik
01159_b_ape-xiipiche_wrinkle-nose_CGL|ape xiipiche
01162_b_ape-atta_sharp-pointed-nose_CGL|ape atta
01163_b_ape-xaapi_flat-nose_CGL|ape xaapi
01164_b_ape-bishua_crooked-nose_CGL|ape bishua
01165_b_ape-dusshia_upturned-nose_CGL|ape dusshia
01166_b_apalapapasshe_round-nose_CGL|apalapapasshe
01171_b_ape-isaa_big-nose_CGL|ape isaa
01180_b_sahteetche_smacking-lips_CGL|sahteetche
01186_b_ihaawisaache_yawn_CGL|ihaawisaache
01187_b_ilaxpe-saatche_thick-lip_CGL|ilaxpe saatche
01188_b_uuwuua-isee_big-mouth_CGL|uuwuua isee
01191_b_uuwuua-uuche_dry-mouth_CGL-2|uuwuua uuche
01192_b_ilaxpe-shua_bruised-lips_CGL-2|ilaxpe shua
01193_b_ilaxpe-daappuushe_swollen-lip_CGL-3|ilaxpe daappuushe
01194_b_ilaxpe-daapxe_biting-lip_CGL|ilaxpe daapxe
01195_b_ilaxpe-chilaashpe_cleft-lippalate_CGL-2|ilaxpe chilaashpe
01197_b_deeshe-isia_stick-out-tongue_CGL-2|deeshe isia
01207_b_iia-biishua_crooked-mouth_CGL-2|iia biishua
01208_b_iia-kuxmiile_twisting-mouth_CGL-2|iia kuxmiile
01212_b_iiakuachishpe_gap-in-middle-of-tooth_CGL-3|iiakuachishpe
01217_b_iliahe-alakuuke-hiisaak_short-of-breath_CGL|iliahe alakuuke hiisaak
01218_b_aapche-tannaa_shaking-voice_CGL-3|aapche tannaa
01223_annaksalisee-_well-known-for-his-reputa_FemaleCitation_CGL_2|annaksalisee
01223_annaksalisee-_well-known-for-his-reputa_FemaleStem_CGL_2|annaksalisee
01223_b_iia-xaxhke_snaggletooth_CGL-2|iia xaxhke
01224_b_iia-chitchitke_chattering-teeth_CGL-2|iia chitchitke
01225_b_iia-kua_middle-of-tooth_CGL-3|iia kua
01229_b_iia-xuhte_rotten-teeth_CGL|iia xuhte
01232_b_iiaaaluushe_what-you-use-to-eat_CGL|iiaaaluushe
01235_b_iia-shichii_loose-of-tooth_CGL-3|iia shichii
01235_s_b_iia-shichiik_loose-of-tooth_CGL-3|iia shichiik
01236_b_iia-kualecte_no-middle-teeth_CGL-3|iia kualecte
01238_b_iia-shiili_yellow-teeth_CGL-2|iia shiili
01239_b_iia-tatcheeta_very-straight-teeth_CGL-3|iia tatcheeta
01240_b_iia-baachikuxxeete_straight-teeth_CGL-3|iia baachikuxxeete
01241_b_iia-asia_teething_CGL-3|iia asia
01242_b_iia-shikuushikuahi_crooked-teeth_CGL-3|iia shikuushikuahi
01243_b_iiwaalaashchia_molar_CGL-3|iiwaalaashchia
01256_b_aape-xiipe_wrinkle-neck_CGL-2|aape xiipe
01260_b_iishpaachua_prideful-hold-facehead-high_CGL-2|iishpaachua
01262_b_issxaawia_sad-face_CGL-2|issxaawia
01265_anniilaache_on-the-contrary_FemaleCitation_CGL_2|anniilaache
01266_annilashe-_scold_FemaleCitation_CGL_2|annilashe
01266_annilashe-_scold_FemaleStem_CGL_2|annilashe
01266_b_issekaase_doesnt-smile_CGL-2|issekaase
01268_b_issatchuuche_bold_CGL|issatchuuche
01268-1_b_ishbaahooli_making-face_CGL|ishbaahooli
01268.1_b_ishbaahooli_making-face_CGL|ishbaahooli
01281_b_daxpesatchi_thick-skin_CGL-2|daxpesatchi
01282_b_alaxaaluua_folds-of-skin-between-skin-folds_CGL-2|alaxaaluua
01287_b_alapuuxxe_freckle-speckles_CGL|alapuuxxe
01290_b_axuadeexia_light-skin_CGL-2|axuadeexia
01291_apannoope-_nostril_FemaleCitation_CGL_1|apannoope
01292_b_iiseekummiila_face-changes_CGL-2|iiseekummiila
01293_axuashiilik_yellow-body-jaundice-3|axuashiilik
01294_axuashipite_black-skin-from-liver-disease-or-malaria -2|axuashipite
01294_axuashipite_black-skin-from-liver-disease-or-malaria-2|axuashipite
01295_axuataashe_oily-skin_CGL-2|axuataashe
01296_axuadaschtaashde_soft-smooth-skin_CGL |axuadaschtaashde
01296_axuadaschtaashde_soft-smooth-skin_CGL|axuadaschtaashde
01297_axualasaatche_soft-skin_CGL |axualasaatche
01297_axualasaatche_soft-skin_CGL|axualasaatche
01298_axuaxaaxe_rough-skin_CGL -2|axuaxaaxe
01298_axuaxaaxe_rough-skin_CGL-2|axuaxaaxe
01298_s_axuaxaaxak_rough-skin_CGL -2|axuaxaaxak
01299_b_axuauuchik_dry-skin_CGL|axuauuchik
01300_b_daxpaiiluusatcheek_cracked-skin_CGL|daxpaiiluusatcheek
01302_b_iiluaissaak_large-scar_CGL|iiluaissaak
01304_b_aluuxaxpik_blistered_CGL|aluuxaxpik
01305_b_isaachiak_white-face-frightened_CGL|isaachiak
01306_b_daxpe-hoohahik_loose-skin_CGL|daxpe hoohahik
01309_b_iishia-iichichishia_hair-root_CGL|iishia iichichishia
01310_b_iishiauupa_hair-end_CGL|iishiauupa
01311_b_iilia_pubic-hair-m_CGL|iilia
01312_b_iishiilia_pubic-hair-f_CGL|iishiilia
01313_b_apiia_nose-hair_CGL|apiia
01314_b_ahxuiia_ear-hair_CGL|ahxuiia
01320_b_ishiidatdak_thin-hair_CGL|ishiidatdak
01322_b_iileetak_bald-no-hair_CGL|iileetak
01326_b_iishichiak_grey-hair_CGL|iishichiak
01327_b_iishishiilik_blonde-hair_CGL|iishishiilik
01328_b_iishishiilipitak_brown-hair_CGL|iishishiilipitak
01331_b_iishianuulia_braided-hair_CGL|iishianuulia
01334_hulittaachik_boney-nothing-but-bone_CGL-5|hulittaachik
01335_b_hulikootchita_skeleton-complete-set-of-bones_CGL|hulikootchita
01356_b_ischichuxe_fist_CGL|ischichuxe
01357_b_ischeelahisshe_knuckles_CGL|ischeelahisshe
01361_b_ischiishoope_fourth-finger_CGL|ischiishoope
01371_b_ississalakoope_socket-hip_CGL|ississalakoope
01373_b_aashuua-ishileeta_skull_CGL|aashuua ishileeta
01384_b_iichihuupe_heart_CGL|iichihuupe
01387_b_daaselaxachia_heart-beat-movement_CGL|daaselaxachia
01388_b_daaselaxchiapuuchi_rapid-heart-beat_CGL|daaselaxchiapuuchi
01389_b_daasepapoochee_heart-beat-thumping_CGL|daasepapoochee
01390_b_daaselaxachia-eehate_irregular-different-heart-beat_CGL|daaselaxachia eehate
01391_b_daaselaxachia-daxshiipi_slow-heart-beat_CGL|daaselaxachia daxshiipi
01393_b_daaselaxchia-iikuukuu_listen-to-heartbeat_CGL|daaselaxchia iikuukuu
01396_b_daasaawuua_inside-of-heart_CGL|daasaawuua
01399_b_iiaxaalasatche_the-thick-part-of-stomach-lining_CGL|iiaxaalasatche
01407_aashkiishe_scrotum_CGL-2|aashkiishe
01410_b_iileelaa_erection_CGL|iileelaa
01410a_b_daakeesh-daa--kaashi_erection_CGL|daakeesh daa kaashi
01411_b_duupahchi_ejaculate_CGL|duupahchi
01412_b_duupahche_semen_CGL|duupahche
01413_b_iilanoope_hole-at-tip-of-penis_CGL|iilanoope
01414_b_chiishoose_head-of-penis_CGL|chiishoose
01417_b_aashkiike_tubes-from-testicle_CGL|aashkiike
01418_b_aashkaasaxxe_edge-of-testicle-horse-castrate_CGL|aashkaasaxxe
01419_b_aashkashiiwe_fatty-edge-of-testicle|aashkashiiwe
01420_b_ischile_vagina_CGL|ischile
01421_b_ischinachpe_vagina-lips-labia_CGL|ischinachpe
01423_b_ischinasse_clitoris_CGL|ischinasse
01424_b_ischinasdeepe_labia-minora_CGL|ischinasdeepe
01425_b_eelachanope_female-urethra_CGL|eelachanope
01426_b_ischinope_vagina-opening_CGL|ischinope
01427_b_daakiishe_womb|daakiishe
01428_b_iimiihua_menstrual-cycle-spilling-of-blood_CGL|iimiihua
01429_b_iishpaammashe_genitals-m-or-f|iishpaammashe
01430_b_daalo_between-the-legs_CGL|daalo
01434_b_daakia_womb_CGL|daakia
01435_b_iinnebuaxua_menstrual-cycle-spilling-of-blood_CGL|iinnebuaxua
01438_b_iidakbiisua_reproductive_CGL|iidakbiisua
01439_b_biaiissaunia_menopause_CGL|biaiissaunia
01454_b_uushaanobe_anus_CGL|uushaanobe
01455_b_iishushiiwe_outside-of-stomach-lining_CGL|iishushiiwe
01461_b_daalo-aluaalacheewe_groin-gland_CGL|daalo aluaalacheewe
01462_b_zammaxachio_movement-of-body-continuous_CGL|kammaaxachio
01464_b_kaliiwa---------xataau_function-of-body_CGL|kaliiwa xataau
01465_b_iila-tatawee_blood-flow_CGL|iila tatawee
01471_b_baliammachissua_breathe-in_CGL|baliammachissua
01472_b_iisketchikitua_gasping-for-air_CGL|iisketchikitua
01481_b_apchexawuuk_wheeze_CGL|apchexawuuk
01484_b_iiliahe-duxashik_hold-ones-breath_CGL|iiliahe duxashik
01489_b_deeshishkulutukdapeek_murder-by-choking-strangle_CGL|deeshishkulutukdapeek
01490_b_iitalushchituk-dapeek_smother_CGL|iitalushchituk dapeek
01498_b_dattachissaak_have-a-lot-of-phlegm_CGL|dattachissaak
01499_b_uuwe-uuchik_dry-mouth_CGL|uuwe uuchik
01513_b_kammii--taweessak_dry-off-from-sweat_CGL|kammii taweessak
01514_b_kammiitawee-beaxxik_dry-off-from-sweat_CGL|kammiitawee beaxxik
01516_b_iiwaailitchitche-iitchipchisa_something-that-smells-good_CGL|iiwaailitchitche iitchipchisa
01517_b_ihchiilichitchik_make-oneself-smell-good_CGL|ihchiilichitchik
01518_b_axiakkulushiichik_wipe-forehead_CGL|axiakkulushiichik
01519_b_ohchilakkuuwik_fan-oneself_CGL|ohchilakkuuwik
01525_b_eelaxe_urine_CGL|eelaxe
01527_b_eelaxpaachik_wet-the-bed_CGL|eelaxpaachik
01528_b_eelaxdeek_take-a-leak_CGL|eelaxdeek
01529_b_eelaxhisshik_urge-to-pee_CGL|eelaxhisshik
01530_b_basee-puuwalaheek_excuse-oneself-idiomatic_CGL|basee puuwalaheek
